OID_,block_vtda,state,Shape_Length,Shape_Area,ID,OBJECTID,Join_Count,TARGET_FID,ID_1,DISTRICT,POPULATION,sld_u22,Shape_Length_1,Shape_Area_1
1641,35047000024,35,1.558794509873579,0.063381605657999,1640,1641,1,1641,33,39,51471,35039,9.980237611835079,1.272959036852497
1642,35047000025,35,0.042096246418658,0.000078449351500,1641,1642,1,1642,41,8,48310,35008,14.176693575452417,3.951687610210502
1643,35047000026,35,0.127965301045073,0.000589480378000,1642,1643,1,1643,41,8,48310,35008,14.176693575452417,3.951687610210502
1644,35047000027,35,0.110979690301440,0.000509209211500,1643,1644,1,1644,41,8,48310,35008,14.176693575452417,3.951687610210502
1645,35047000028,35,0.270284588640613,0.002734576455500,1644,1645,1,1645,41,8,48310,35008,14.176693575452417,3.951687610210502
1646,35047000029,35,0.039361385352359,0.000059204850500,1645,1646,1,1646,41,8,48310,35008,14.176693575452417,3.951687610210502
1647,35047000030,35,0.094879977548135,0.000574482835000,1646,1647,1,1647,41,8,48310,35008,14.176693575452417,3.951687610210502
1648,35047000031,35,1.008572935479414,0.015972197657501,1647,1648,1,1648,33,39,51471,35039,9.980237611835079,1.272959036852497
1649,35047000032,35,1.141419154005459,0.023180086588500,1648,1649,1,1649,33,39,51471,35039,9.980237611835079,1.272959036852497
1650,35047000033,35,3.127668600961957,0.221930698347498,1649,1650,1,1650,41,8,48310,35008,14.176693575452417,3.951687610210502
1651,35049000001,35,0.127116835210838,0.000616318615500,1650,1651,1,1651,38,5,49357,35005,6.266535837736372,0.625411196881496
1652,35049000002,35,0.271639955915051,0.002585785289500,1651,1652,1,1652,39,6,51532,35006,7.287348947688177,0.595562068563500
1653,35049000003,35,0.319076742858674,0.001871775833000,1652,1653,1,1653,39,6,51532,35006,7.287348947688177,0.595562068563500
1654,35049000004,35,0.858308381269945,0.032167076577500,1653,1654,1,1654,39,6,51532,35006,7.287348947688177,0.595562068563500
1655,35049000005,35,0.182687204139304,0.001463589899500,1654,1655,1,1655,39,6,51532,35006,7.287348947688177,0.595562068563500
1656,35049000006,35,0.272580772106711,0.004394906389500,1655,1656,1,1656,18,25,51100,35025,2.051235253166463,0.107214429381498
1657,35049000007,35,0.881699293598284,0.011362655312499,1656,1657,1,1657,18,25,51100,35025,2.051235253166463,0.107214429381498
1658,35049000008,35,0.431425255365361,0.004812567931000,1657,1658,1,1658,18,25,51100,35025,2.051235253166463,0.107214429381498
1659,35049000009,35,0.076256376281859,0.000223903826000,1658,1659,1,1659,18,25,51100,35025,2.051235253166463,0.107214429381498
1660,35049000010,35,0.155036527737378,0.000635347669500,1659,1660,1,1660,18,25,51100,35025,2.051235253166463,0.107214429381498
1661,35049000011,35,0.107949818946378,0.000416089892500,1660,1661,1,1661,18,25,51100,35025,2.051235253166463,0.107214429381498
1662,35049000012,35,0.809123360591568,0.022741878669500,1661,1662,1,1662,33,39,51471,35039,9.980237611835079,1.272959036852497
1663,35049000013,35,0.432748273854424,0.007022205116500,1662,1663,1,1663,18,25,51100,35025,2.051235253166463,0.107214429381498
1664,35049000014,35,0.266717093803923,0.003779324666000,1663,1664,1,1664,33,39,51471,35039,9.980237611835079,1.272959036852497
1665,35049000015,35,0.364947487458318,0.008190377853500,1664,1665,1,1665,11,19,50289,35019,3.987158280550542,0.294756794976500
1666,35049000016,35,1.188666482137579,0.055510141045500,1665,1666,1,1666,11,19,50289,35019,3.987158280550542,0.294756794976500
1667,35049000017,35,1.348163920727977,0.072384518389000,1666,1667,1,1667,33,39,51471,35039,9.980237611835079,1.272959036852497
1668,35049000018,35,0.519353369390177,0.011578638000000,1667,1668,1,1668,11,19,50289,35019,3.987158280550542,0.294756794976500
1669,35049000019,35,0.919582154218541,0.039451059609502,1668,1669,1,1669,11,19,50289,35019,3.987158280550542,0.294756794976500
1670,35049000020,35,0.045621284127103,0.000096832675000,1669,1670,1,1670,18,25,51100,35025,2.051235253166463,0.107214429381498
1671,35049000021,35,0.060367859825925,0.000117351150500,1670,1671,1,1671,18,25,51100,35025,2.051235253166463,0.107214429381498
1672,35049000022,35,0.035064952583689,0.000078304509500,1671,1672,1,1672,18,25,51100,35025,2.051235253166463,0.107214429381498
1673,35049000023,35,0.324455075257360,0.003447816250000,1672,1673,1,1673,39,6,51532,35006,7.287348947688177,0.595562068563500
1674,35049000024,35,0.036219885900195,0.000059169508000,1673,1674,1,1674,17,24,51146,35024,0.371030842949940,0.003821185664500
1675,35049000025,35,0.033202418495201,0.000057684503000,1674,1675,1,1675,17,24,51146,35024,0.371030842949940,0.003821185664500
