geoid,block_vtda,total
350010001292015,35001000544,48
350010001292016,35001000544,287
350010001293000,35001000306,81
350010001293001,35001000306,98
350010001293002,35001000306,101
350010001293003,35001000306,48
350010001293004,35001000306,185
350010001293005,35001000306,95
350010001293006,35001000306,0
350010001293007,35001000306,41
350010001293008,35001000306,92
350010001293009,35001000306,75
350010001293010,35001000306,64
350010001293011,35001000306,30
350010002031000,35001000400,0
350010002031001,35001000400,15
350010002031002,35001000400,490
350010002031003,35001000400,55
350010002031004,35001000400,54
350010002031005,35001000400,98
350010002031006,35001000404,61
350010002031007,35001000404,48
350010002031008,35001000404,112
