,block_vtda,DISTRICT
1446,35043000066,22
1447,35043000067,40
1448,35043000068,40
1449,35043000069,40
1450,35043000070,40
1451,35043000071,40
1452,35043000072,12
1453,35043000073,12
1454,35043000074,9
1455,35043000075,22
1456,35043000076,9
1457,35043000077,22
1458,35043000078,22
1459,35043000079,22
1460,35043000080,40
1461,35043000081,12
1462,35043000082,40
1463,35043000083,40
1464,35043000084,40
1465,35043000085,40
1466,35043000086,12
1467,35043000087,9
1468,35043000088,9
1469,35043000089,9
1470,35043000090,9
1471,35043000091,22
1472,35043000092,9
1473,35043000093,9
1474,35043000094,9
1475,35043000095,22
1476,35043000096,12
1477,35043000097,12
1478,35043000098,9
1479,35043000099,9
1480,35043000100,40
1481,35043000101,40
1482,35043000102,9
1483,35043000103,40
1484,35043000104,40
1485,35043000105,12
1486,35043000106,12
1487,35043000107,12
1488,35043000108,12
1489,35043000109,40
1490,35043000110,40
