,block_vtda,total,nh_black,weighted_blk_sl_dist
2124,22071007-30,1274,871,49773.382819019826
2125,22071007-32,676,215,26259.719648912083
2126,22071007-33,1095,692,42660.93528919872
2127,22071007-35,1726,1280,67090.53206981665
2128,22071007-37,1568,1040,60792.952370554194
2129,22071007-40,1946,637,75569.43281998644
2130,22071007-41,520,70,20075.580067283496
2131,22071007-42,591,59,22790.81964748464
2132,22071007-9A,623,517,24585.13044569852
2133,22071008-12,2050,1619,81521.62324561727
2134,22071008-13,591,539,23280.362521164025
2135,22071008-14,808,604,31930.53271649629
2136,22071008-15,1621,1214,63678.98750769946
2137,22071008-19,1782,1394,70100.27902856818
2138,22071008-20,746,535,29253.85012342804
2139,22071008-21,763,381,29890.543459049255
2140,22071008-22,707,397,27550.782528571544
2141,22071008-23,719,347,28063.123880999254
